protein	strand_corrected_position	count_cons	count	normalised_count	normalised_count_cons	score	normalised_coverage	coverage_normalised	coverage_normalised_cons
tfip11	-60	21876.034454424513	24166	0.03225001434609179	0.0291940091446987	469138	0.9935301878680963	0.032460024607096676	0.029384118873471587
tfip11	-59	19513.39874568885	23710	0.03164147315012151	0.02604102414505814	469307	0.9938880923690101	0.0318360521602604	0.026201163234572333
tfip11	-58	20218.54199965708	24552	0.03276513913039997	0.026982052037821745	469464	0.9942205835325809	0.03295560328672902	0.027138899037828595
tfip11	-57	19760.510853610187	24210	0.03230873323342226	0.02637080023649057	469623	0.9945573102523756	0.03248554195959175	0.026515113774387523
tfip11	-56	19453.307282181628	23856	0.031836313094445325	0.02596083087516715	469791	0.9949130969751775	0.031999089358896664	0.026093566316591425
tfip11	-55	19451.5634329753	23839	0.0318136262516131	0.025958503673233796	469974	0.9953006503696582	0.031963835490107846	0.026081067729226054
tfip11	-54	19960.484861546698	24372	0.0325249255004117	0.02663766958287797	470126	0.9956225526426694	0.032667927633902194	0.026754787255646142
tfip11	-53	20096.838987162446	24461	0.032643697795239235	0.0268196369133115	470242	0.9958682149036517	0.03277913413312167	0.02693090964441138
tfip11	-52	19479.26892250488	23785	0.03174156216261662	0.025995477207736588	470367	0.9961329371676412	0.03186478528947063	0.026096393601491522
tfip11	-51	19596.66966572303	23912	0.03191104622377501	0.026152150867135213	470507	0.9964294261033094	0.032025395264136336	0.0262458636628258
tfip11	-50	19082.319640748043	23402	0.031230440938808248	0.025465740386114107	470653	0.9967386217076492	0.03133262849321832	0.02554906555390145
tfip11	-49	19786.992302695708	24079	0.03213391109159746	0.026406140264336027	470837	0.9971282928802417	0.03222645603483728	0.0264821893560566
tfip11	-48	19529.627566043484	23858	0.03183898213477853	0.02606268183310155	471041	0.9975603196150726	0.03191684904534314	0.02612642195226683
tfip11	-47	19293.35491712028	23599	0.03149334141162874	0.025747371218297177	471212	0.9979224596722103	0.031558906312193255	0.025800973781825165
tfip11	-46	20142.324127076954	24466	0.03265037039607224	0.0268803377498081	471361	0.9982380086108859	0.032708001613269956	0.026927784273826506
tfip11	-45	19403.00758985599	23760	0.031708199158451585	0.02589370492138474	471481	0.9984921419843157	0.0317560828224822	0.025932807913666565
tfip11	-44	19272.361651480656	23577	0.03146398196796351	0.025719355281938278	471571	0.9986827420143882	0.03150548281679449	0.02575327899434927
tfip11	-43	20007.342113665534	24337	0.03247821729458065	0.026700201530782088	471648	0.9988458109290057	0.032515746613957695	0.026731054221420608
tfip11	-42	19665.709566307487	23977	0.03199779003460411	0.026244286006765333	471724	0.9990067620655113	0.032029603051381354	0.02627037874348675
tfip11	-41	18940.88712763506	23176	0.030928839381156308	0.0252769958451517	471786	0.9991380643084501	0.03095552104959948	0.02529880178536395
tfip11	-40	19361.93446910789	23568	0.0314519712864641	0.025838892013441143	471856	0.9992863087762843	0.03147443431400542	0.02585734617447444
tfip11	-39	19361.153824054825	23557	0.03143729156463148	0.02583785022687487	471893	0.9993646665664252	0.031457277424708635	0.02585427631301741
tfip11	-38	18772.493276269295	22944	0.03061923070250476	0.025052270854572393	471931	0.9994451421346779	0.03063622945538189	0.025066179021155852
tfip11	-37	19316.370132504813	23509	0.03137323459663461	0.025778085487366514	471972	0.9995319710372665	0.03138792505464029	0.025790156027340725
tfip11	-36	19089.079061076256	23317	0.03111700672464712	0.025474760968856643	472001	0.9995933866025121	0.031129664463277192	0.025485123561533398
tfip11	-35	20070.567571454703	24417	0.03258497890790877	0.026784577179244345	472023	0.9996399777209742	0.03259671445133429	0.026794223696724365
tfip11	-34	19485.09015442734	23869	0.03185366185661115	0.026003245759131575	472041	0.9996780977269888	0.031863918924540005	0.026011618958398985
tfip11	-33	18386.890558651914	22738	0.030344319548184853	0.024537676251615657	472061	0.9997204532892271	0.03035280457486649	0.024544537596368165
tfip11	-32	19422.538610475378	23834	0.031806953650780095	0.02591976946227562	472069	0.9997373955141224	0.03181530849351007	0.025926577897935073
tfip11	-31	19559.154136735506	24054	0.03210054808743242	0.02610208563714064	472084	0.9997691621858011	0.03210795981869535	0.026108112376734542
tfip11	-30	19685.222179558696	24144	0.03222065490242656	0.026270325982652165	472099	0.9998009288574798	0.03222707038214761	0.026275556687742348
tfip11	-29	20006.434852996357	24409	0.03257430274657595	0.026698990773122707	472105	0.9998136355261514	0.03258037457094066	0.02670396744396507
tfip11	-28	19664.031611356466	24080	0.03213524561176406	0.026242046742044545	472110	0.9998242244167109	0.032140895196364636	0.02624666026406185
tfip11	-27	19126.113138625675	23491	0.03134921323363578	0.02552418369219783	472119	0.9998432844197183	0.03135412691382931	0.025528184356422786
tfip11	-26	20009.411207408702	24416	0.03258364438774217	0.026702962778108935	472127	0.9998602266446135	0.03258819934971128	0.026706695662572978
tfip11	-25	20092.42952242698	24586	0.03281051281606442	0.0268137523936981	472130	0.9998665799789492	0.03281489097950968	0.02681733036247959
tfip11	-24	19938.23855050938	24438	0.032613003831407396	0.02660798143216618	472135	0.9998771688695088	0.03261701021564543	0.026611250122102463
tfip11	-23	19739.847068249826	24328	0.032466206613081236	0.02634322399820884	472138	0.9998835222038446	0.03246998864579989	0.026346292756325964
tfip11	-22	20260.371559941726	24948	0.03329360911637416	0.027037874429581676	472145	0.999898346650628	0.03329699386732479	0.02704062319949901
tfip11	-21	20417.661579420495	25086	0.03347777289936517	0.027247781132581236	472147	0.9999025822068519	0.03348103454786314	0.02725043580990016
tfip11	-20	20045.744693046006	24568	0.03278649145306559	0.026751450547414842	472150	0.9999089355411876	0.03278947740908059	0.0267538868756443
tfip11	-19	20210.52547198928	24757	0.03303871576455328	0.026971353819982946	472152	0.9999131710974114	0.033041584729095096	0.026973695916398126
tfip11	-18	20529.926637490484	25145	0.03355650958919466	0.027397601116580322	472152	0.9999131710974114	0.03355942351711015	0.027399980226794365
tfip11	-17	20234.598709176727	24927	0.03326558419287553	0.027003480040484973	472153	0.9999152888755234	0.03326840239665209	0.027005767729436688
tfip11	-16	20871.481304250476	25640	0.0342170970716624	0.027853412707368387	472155	0.9999195244317471	0.03421985093361181	0.027855654406985845
tfip11	-15	20888.0491539896	25730	0.03433720388665654	0.02787552283696247	472155	0.9999195244317471	0.03433996741504805	0.027877766316048377
tfip11	-14	21192.821824374758	26095	0.03482430374746608	0.028282248111820455	472161	0.9999322311004187	0.0348266639121555	0.028284164898551206
tfip11	-13	20976.32638109599	25844	0.0344893391856491	0.02799333057678761	472163	0.9999364666566425	0.03449153054790233	0.027995109199672723
tfip11	-12	21847.44252201212	26736	0.03567973117425764	0.029155852634292257	472164	0.9999385844347545	0.03568192259970315	0.029157643367440898
tfip11	-11	22088.972246291167	27155	0.03623889512406367	0.029478178922176343	472168	0.9999470555472021	0.03624081387412319	0.02947973971086396
tfip11	-10	21685.69342233732	26927	0.035934624526078526	0.028939995198846602	472170	0.999951291103426	0.03593637494724908	0.028941404902744716
tfip11	-9	23486.379337342467	29005	0.03870775743227644	0.03134304686613624	472174	0.9999597622158736	0.03870931500933747	0.03134430809163882
tfip11	-8	24179.96685021658	29938	0.03995286474771564	0.03226865338936972	472174	0.9999597622158736	0.03995447242715205	0.03226995186072646
tfip11	-7	24899.134819747007	30937	0.04128605039415053	0.03322839754788193	472176	0.9999639977720974	0.04128753683746129	0.03322959388729417
tfip11	-6	25333.878373415588	31466	0.04199201156228272	0.03380857158755265	472176	0.9999639977720974	0.04199352342268342	0.03380978881527491
tfip11	-5	25301.595066036647	31475	0.042004022243782135	0.033765488862810854	472177	0.9999661155502093	0.042005445575193666	0.033766633026592247
tfip11	-4	24371.356474478387	30888	0.041220658905987057	0.032524066702625386	472180	0.999972468884545	0.04122179378795109	0.032524962151113536
tfip11	-3	26319.082684890618	33924	0.045272262131789205	0.03512334660943882	472183	0.9999788222188808	0.04527322091815237	0.035124090459738584
tfip11	-2	29929.783911942595	39870	0.05320731904240171	0.039941900212512454	472187	0.9999872933313285	0.05320799513876661	0.03994240774745364
tfip11	-1	44708.39298288289	57369	0.07656008743776131	0.059664252052002105	472188	0.9999894111094404	0.07656089813273279	0.05966488383692731
tfip11	0	37265.56756262234	49535	0.06610545645260518	0.04973165143217013	472193	1.0	0.06610545645260518	0.04973165143217013
tfip11	1	36536.037480152576	45470	0.060680631975370096	0.048758078824971775	470469	0.9963489505350567	0.06090299181103522	0.04893674931738307
tfip11	2	19795.416332608253	24338	0.03247955181474725	0.026417382302138373	469950	0.9952498236949722	0.032634571784362056	0.026543468457056334
tfip11	3	21662.81579566528	26240	0.035017809171623296	0.028909464544688783	469537	0.9943751813347508	0.03521589217926664	0.029072994868881964
tfip11	4	23215.84454085017	27988	0.037350550422842715	0.030982012724449837	468925	0.9930791011302582	0.03761085132124192	0.031197930446011924
tfip11	5	21985.950227568897	26633	0.03554227559709769	0.02934069396058748	468336	0.9918317298223396	0.03583498543998401	0.029582330428008275
tfip11	6	21202.642641896913	25550	0.034096990256668264	0.028295354190856287	467647	0.9903725807032294	0.03442844735509253	0.028570413541502464
tfip11	7	21136.411714491027	25285	0.03374334241251887	0.028206967682580412	466871	0.9887291848883825	0.03412799270846663	0.028528507212786172
tfip11	8	20757.947349281072	24881	0.033204196265211865	0.027701899354867693	466104	0.9871048490765428	0.033637962873219684	0.028063786112269024
tfip11	9	19705.537947812998	23721	0.03165615287195413	0.026297437785087537	465254	0.9853047376814141	0.03212828646946966	0.02668964918099326
tfip11	10	18278.912947813016	22027	0.029395475709731188	0.0243935779524097	464304	0.9832928484750939	0.029894934917220395	0.024808049799446466
tfip11	11	18439.12252162126	22024	0.029391472149231383	0.024607380859539427	463133	0.9808129303060401	0.029966440328290177	0.025088760658835585
tfip11	12	17433.866136339882	20779	0.02772999454181252	0.023265845940776506	461756	0.9778967498459317	0.028356771352580322	0.023791720285850276
tfip11	13	15913.379149476184	18987	0.025338534403262634	0.021236725393751755	460216	0.9746353715535808	0.025997963077076403	0.021789405570105825
tfip11	14	15252.223990746032	18109	0.02416682569698652	0.020354400501173753	458288	0.9705522953538066	0.024900075774048538	0.020971977088317256
tfip11	15	13784.215753612752	16394	0.02187812361126495	0.018395313903982278	455724	0.9651223122748537	0.02266875745489382	0.01906008561818799
tfip11	16	12795.237579009578	15130	0.020191290120680657	0.017075502585645604	452220	0.9577016177706997	0.021083069868547525	0.01782966872854751
tfip11	17	11222.260198057185	13249	0.017681057687303242	0.01497633254915663	446643	0.9458907692405436	0.01869249416769272	0.015833046516757043
tfip11	18	10195.492737739702	12040	0.01606762280588203	0.013606090666952746	439303	0.9303462778990794	0.0172705832092607	0.014624759608517168
tfip11	19	9863.929152305525	11594	0.015472426811577763	0.013163612375680138	429944	0.9105259925496566	0.016992844727311787	0.014457151672100392
tfip11	20	9069.416814643171	10599	0.014144579245809273	0.012103319638456029	417854	0.884922055176591	0.015983983180288854	0.013677271989837281
tfip11	21	7415.361259087611	8652	0.011546268481436157	0.00989594914288789	403837	0.855237159381863	0.013500662774968076	0.011570999966886791
tfip11	22	6066.354873806234	7104	0.009480431263537039	0.008095672916855702	387363	0.820348882766157	0.01155658459796972	0.00986857309972518
tfip11	23	5759.850111901475	6693	0.008931943475063823	0.007686636130934412	370602	0.7848528038323312	0.01138040589451976	0.009793729592863268
tfip11	24	5069.8786833300555	5934	0.007919042668613287	0.006765855345127007	353759	0.7491830670933284	0.010570237124201827	0.009030977396989354
tfip11	25	4441.3171753935485	5165	0.006892796660496735	0.005927027336836291	337892	0.7155802817915555	0.009632457511601147	0.008282826522269656
tfip11	26	3613.8142309599607	4236	0.005653027425723944	0.004822707969567549	324495	0.6872084084262156	0.008226074297708335	0.007017824448062404
tfip11	27	2885.4454717498193	3401	0.004538703086611693	0.003850685171679106	310984	0.6585951083561171	0.00689149225225875	0.005846817145803874
tfip11	28	2580.4210254596746	3013	0.004020909261970312	0.003443623896798452	299869	0.6350560046421696	0.006331582147996451	0.005422551509829131
tfip11	29	2235.1432476818964	2637	0.003519129679328149	0.002982843739274657	289537	0.6131751211898524	0.005739191884529427	0.004864587026111752
tfip11	30	2022.3432476818969	2360	0.003149467593179534	0.0026988578478218585	281545	0.5962498385194189	0.005282127372982024	0.0045263875534516575
tfip11	31	1545.2396762533258	1819	0.0024274921830481242	0.0020621535101928326	274411	0.5811416094690095	0.004177109577932528	0.00354845269482085
tfip11	32	1391.8277714914218	1630	0.0021752678715604413	0.0018574222294913234	268789	0.5692354609238172	0.003821385034639585	0.003263012157529499
tfip11	33	1127.9611048247552	1339	0.0017869225030794052	0.0015052868415307416	264022	0.5591400126643131	0.0031958408674147365	0.002692146524012868
tfip11	34	1032.937295300946	1225	0.0016347872040868346	0.0013784756514139188	260451	0.5515774270266607	0.0029638399324992985	0.00249915167639246
tfip11	35	903.9039619676126	1081	0.001442616300096219	0.0012062780659167721	257020	0.5443113303246766	0.0026503514068606875	0.0022161546135687432
tfip11	36	845.3956286342791	1017	0.0013572070094337231	0.001128197515169196	254603	0.5391926606281754	0.0025171095761068723	0.002092382922747525
tfip11	37	752.7622953009455	908	0.0012117443112741597	0.0010045764637363437	252429	0.5345886110128697	0.0022666856089176733	0.0018791579974608915
tfip11	38	652.4345459403318	783	0.0010449292904489726	0.0008706870589448639	250409	0.5303106992267992	0.001970409595681352	0.0016418432820879127
tfip11	39	700.0234348292208	837	0.0011169933794454535	0.0009341953908732443	249032	0.5273945187666907	0.0021179465081615496	0.0017713407281096801
tfip11	40	663.5901014958876	810	0.001080961334947213	0.0008855743728033965	247778	0.524738825014348	0.002059998771613014	0.0016876478937482512
tfip11	41	579.1139110196967	713	0.0009515128787868678	0.0007728391930152506	246687	0.5224283290942475	0.0018213271099531286	0.001479320990029674
tfip11	42	578.6282788357887	697	0.0009301605561212439	0.0007721911070722745	245862	0.5206811621519167	0.0017864302066873225	0.001483040223465922
tfip11	43	570.4139931215029	693	0.0009248224754548379	0.0007612289771323336	244762	0.5183516062288089	0.0017841605279922794	0.0014685571877948703
tfip11	44	541.9889931215029	677	0.0009034701527892139	0.0007232952413966859	244201	0.5171635327080241	0.0017469718873223176	0.001398581291316683
tfip11	45	558.48185026436	700	0.0009341641166210483	0.0007453052918587063	243708	0.5161194680988495	0.0018099765158289536	0.001444055762135991
tfip11	46	427.48185026436005	566	0.0007553384142964477	0.0005704831500339102	243363	0.5153888346502383	0.001465569999802281	0.0011068985427692877
tfip11	47	545.1985169310267	665	0.0008874559107899959	0.0007275784156456831	242961	0.5145374878492481	0.0017247643403001326	0.0014140435494543653
tfip11	48	656.9651835976936	778	0.0010382566896159652	0.0008767332862661775	242577	0.5137242610542723	0.002021038849684148	0.0017066223122632616
tfip11	49	537.9651835976936	658	0.0008781142696237855	0.0007179253864405993	242257	0.5130465720584592	0.0017115683398888954	0.0013993376538120504
